siteID,NumPeaks,MaxPSD,pheno_var,MV_ModTerra_Mean,MV_ModTerra_Max,MV_ModAqua_Mean,MV_ModAqua_Max,MV_Landsat_Mean,MV_Landsat_Max
5510,7,0.203426822,1.256044449,16.04794694,93.54830295,15.02074785,57.40212462,9.743260191,42.72919387
5511,7,0.231257967,1.700131922,14.84612028,17.74901628,19.07381495,20.53815707,10.52469565,30.38672191
5512,4,0.247581526,1.148902025,16.36355145,43.02036,16.51296969,99.26714564,12.27662458,49.43729818
5513,7,0.191198604,1.588319115,12.60985605,39.68802546,15.77006848,44.6136782,10.74804663,35.93935806
5514,5,0.233102756,1.490266216,16.43216302,29.97679698,14.89767546,15.2927514,8.308715293,43.51112114
5516,5,0.30837017,0.569327293,21.10300877,23.78582372,23.99941862,16.00218667,13.64258636,25.06233297
5517,8,0.256022797,1.379568997,21.86744642,6.135122411,9.353366205,6.452415676,-0.782419886,2.385960956
5518,7,0.16467594,0.768876009,6.109898088,14.78339865,8.211048423,13.44960416,16.56139059,9.120473308
5519,4,0.207316442,0.519123611,35.64974325,38.14617462,51.93386465,28.13098352,23.38511664,44.26168954
5520,2,0.508281273,0.79999707,37.43115263,35.20213009,28.9009524,43.83222148,19.07230901,48.55240548
5521,6,0.259780255,0.789481085,12.10861521,6.508477679,11.64623056,4.242578465,17.2370593,11.94078569
5522,5,0.36626378,0.686049053,27.0579881,114.2210605,25.36321418,38.00543579,27.29670789,64.2065969
5525,4,0.342750515,0.689804274,9.401391626,25.3685952,9.522032222,20.15657734,8.926911736,19.87015539
5532,5,0.249138943,0.927139192,13.78203116,32.6976024,14.05015455,8.944683344,18.08746179,6.326980302
5533,4,0.242095413,0.711383182,6.180036747,13.37055306,6.234151406,11.37246102,5.517257682,8.437017061
5534,4,0.256249394,0.613163233,37.68463152,35.13541374,24.90598697,28.04229404,26.37473209,39.6294657
5535,5,0.200487155,0.477429369,32.17889017,24.81213178,33.08973658,22.49746022,16.85296673,32.73831932
5536,5,0.506420023,0.662751423,13.51297476,14.595836,16.82033133,18.22291738,12.69203734,21.72819363
5537,5,0.257136888,1.32700382,15.59046537,37.83867228,16.92829114,25.54671176,14.49490183,65.4239798
5538,6,0.095198687,0.495827232,30.40914049,36.94720539,27.71067186,32.40761991,20.11719828,40.46373595
5540,3,0.453084598,0.66582091,31.12719171,38.9159123,26.19277061,37.89476438,16.385707,55.11048513
5541,2,0.223252578,0.775223546,13.77730483,21.34648371,14.37030427,23.63308019,6.506111827,18.99825414
5542,7,0.148419983,0.799051483,16.7454227,14.96879026,17.30401301,6.997457864,1.566500595,5.10731004
5543,5,0.140560949,1.816715217,11.26040031,13.42955854,14.09670645,22.35474167,10.71264923,10.33027443
5544,5,0.164599133,2.485862563,15.22403135,27.27339918,17.9627996,33.07109293,14.34996396,16.31893905
5545,6,0.131173421,3.162891532,8.478421146,7.994683548,7.889590491,8.130968257,3.21777926,4.555136242
5546,5,0.235005495,1.520844101,21.51320575,50.5170451,16.47246079,25.84499301,3.427862443,15.1068078
5547,6,0.175243822,0.469831663,31.59894734,24.77181783,22.35785886,49.89328329,7.334472091,7.781727111
5549,6,0.353407445,0.511808928,63.05425658,42.06275212,42.06503289,41.26359773,21.04542094,39.26088535
5551,4,0.166406,0.486926486,41.67325685,15.37151519,44.89345697,13.48304179,9.885625528,16.55258409
5553,5,0.347197274,0.639070364,19.47736333,23.1195138,35.6051866,32.1069702,22.95239055,34.26574664
5555,5,0.469868414,2.700265866,2.98686009,6.066348734,3.492362836,4.272979526,13.71933228,11.38258629
5557,5,0.279055954,0.533944936,29.24680806,25.50035407,28.0774107,23.90075811,12.1574022,36.10620701
5558,5,0.378941873,0.570695493,27.36800406,67.44344713,35.10229292,34.25305798,23.89402053,49.36000019
